Dataset Size,Time Taken
435,0.010886
435,0.0134758
435,0.0560799
435,0.1402602
435,0.07169
440,0.0033904
440,0.0114396
440,0.0224536
440,0.0724455
440,0.281446
440,0.1004038
445,0.0045571
445,0.012927
445,0.0236428
445,0.1121356
445,0.2756144
445,0.1060929
450,0.003166
450,0.0089225
450,0.0155173
450,0.0564796
450,0.2029239
450,0.0869425
455,0.0042886
455,0.0087723
455,0.0189303
455,0.0519197
455,0.1436428
455,0.1136173
460,0.0035253
460,0.0094926
460,0.0144677
460,0.0680759
460,0.1813895
460,0.0919543
465,0.0036857
465,0.0088135
465,0.0143493
465,0.0638402
465,0.172564
465,0.0996361
470,0.0041993
470,0.0093825
470,0.0144637
470,0.0832957
470,0.1475019
470,0.0617381
475,0.0034026
475,0.0122948
475,0.0190046
475,0.0532046
475,0.1960052
475,0.069685
480,0.0053477
480,0.00971
480,0.0157299
480,0.091875
480,0.1517267
480,0.0549878
485,0.0038752
485,0.0095448
485,0.0135376
485,0.0576734
485,0.1572481
485,0.0888845
490,0.0040396
490,0.0090785
490,0.0147534
490,0.0574095
490,0.1532352
490,0.0592876
495,0.0035143
495,0.0088312
495,0.014291
495,0.071802
495,0.1886042
495,0.0638984
500,0.0033349
500,0.0096218
500,0.0163442
500,0.0558284
500,0.1638166
500,0.0635466
505,0.003427
505,0.0087305
505,0.0144988
505,0.0501323
505,0.1875652
505,0.0607959
510,0.0033189
510,0.0096579
510,0.0161394
510,0.0515696
510,0.1483431
510,0.0704757
515,0.0036448
515,0.0095322
515,0.0145911
515,0.0826534
515,0.145694
515,0.0587084
520,0.0037899
520,0.0088408
520,0.0147824
520,0.0656148
520,0.1458692
520,0.1034213
525,0.0036918
525,0.0091445
525,0.0268577
525,0.0554954
525,0.1703445
525,0.0693466
530,0.005026
530,0.0098079
530,0.0215892
530,0.0566906
530,0.1930359
530,0.0645597
535,0.003872
535,0.0092783
535,0.0157028
535,0.0509335
535,0.1476574
535,0.0620416
540,0.0035605
540,0.0104626
540,0.0159698
540,0.1186608
540,0.1893602
540,0.0696052
545,0.0041183
545,0.0111961
545,0.021541
545,0.0794151
545,0.1508961
545,0.1049202
550,0.0034438
550,0.0111286
550,0.0173136
550,0.0704623
550,0.1859758
550,0.0736429
555,0.0041292
555,0.0108538
555,0.0178995
555,0.0698104
555,0.2223026
555,0.0754709
560,0.0062092
560,0.0130413
560,0.0180432
560,0.0724561
560,0.1829309
560,0.0849385
565,0.0038827
565,0.0136694
565,0.0174255
565,0.1114624
565,0.1849761
565,0.071718
570,0.0040084
570,0.0109905
570,0.0176597
570,0.0625189
570,0.2118511
570,0.0692565
575,0.0039916
575,0.0113843
575,0.0186394
575,0.0628084
575,0.1724416
575,0.0853188
580,0.0059304
580,0.0112182
580,0.0181433
580,0.0665521
580,0.2265688
580,0.0850412
585,0.003876
585,0.0123203
585,0.0182094
585,0.0689855
585,0.1720565
585,0.1264004
590,0.0055506
590,0.0108631
590,0.0202881
590,0.077424
590,0.1868615
590,0.0753395
595,0.0043376
595,0.0115888
595,0.018757
595,0.0880769
595,0.2442673
595,0.0805753
600,0.0041169
600,0.0121666
600,0.0208013
600,0.0668169
600,0.1782985
600,0.1495938
605,0.0049414
605,0.0099168
605,0.0254331
605,0.0736611
605,0.2104322
605,0.0693162
610,0.003973
610,0.0116081
610,0.0202729
610,0.0637356
610,0.2097789
610,0.0784314
